"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 08 17:44:37 UTC 2025","Thu May 08 17:44:40 UTC 2025","2819","test","test_6_contact_us_form","","","","test_contact_us_form",""
"passed","Thu May 08 17:44:16 UTC 2025","Thu May 08 17:44:19 UTC 2025","3577","test","test_1_register_user","","","","test_register_user",""
"passed","Thu May 08 17:44:45 UTC 2025","Thu May 08 17:44:48 UTC 2025","2536","test","test_9_search_product","","","","test_search_product",""
"passed","Thu May 08 17:44:40 UTC 2025","Thu May 08 17:44:42 UTC 2025","1746","test","test_7_verify_test_cases_page","","","","test_verify_test_cases_page",""
"passed","Thu May 08 17:44:28 UTC 2025","Thu May 08 17:44:32 UTC 2025","4042","test","test_4_logout_user","","","","test_login_user_and_logout",""
"passed","Thu May 08 17:44:43 UTC 2025","Thu May 08 17:44:45 UTC 2025","1921","test","test_8_verify_all_products_and_product_detail_page","","","","test_verify_all_products_and_product_detail_page",""
"passed","Thu May 08 17:44:26 UTC 2025","Thu May 08 17:44:27 UTC 2025","1646","test","test_3_login_user_incorrect_credentials","","","","test_login_with_incorrect_credentials",""
"passed","Thu May 08 17:44:32 UTC 2025","Thu May 08 17:44:37 UTC 2025","4626","test","test_5_register_user_with_existing_email","","","","test_signup_with_existing_email_shows_error",""
"passed","Thu May 08 17:44:12 UTC 2025","Thu May 08 17:44:15 UTC 2025","3121","test","test_10_verify_subscription_home_page","","","","test_verify_subscription_home_page",""
"passed","Thu May 08 17:44:20 UTC 2025","Thu May 08 17:44:25 UTC 2025","5392","test","test_2_login_user_delete","","","","test_login_user_with_correct_credentials",""
